id_no,zip_code,population,poverty_rate,median_household_inc,income_ratio,unemp_rate,no_health_ins,snap,no_hs_diploma,vacancy_rate,owner_occupancy,no_vehicle,distress_score,distress_rank,exclude,population_score
40653,77346,79538,7.50,122241.00,1.58,4.90,8.10,5.30,5.80,4.00,81.70,2.00,21.95,28,2,53.37
40654,77354,44900,6.30,112504.00,1.46,4.20,11.80,3.00,6.70,12.10,79.90,1.90,23.81,29,2,26.72
40655,77355,32847,8.50,102066.00,1.32,6.10,13.70,3.60,8.00,4.20,82.70,3.40,28.93,44,2,17.45
40656,77356,32583,8.80,106804.00,1.38,2.30,9.40,5.30,4.80,12.40,81.50,4.80,25.61,32,2,17.25
40657,77357,37592,16.30,76050.00,0.98,3.90,28.50,14.10,19.50,9.90,73.90,3.10,47.42,105,2,21.10
40658,77358,5087,9.70,60424.00,0.78,5.10,18.20,10.30,12.30,16.90,70.50,10.50,,,1,
40659,77362,8017,10.00,86852.00,1.12,4.00,20.90,8.40,10.40,3.50,90.90,6.30,,,1,
40660,77363,3468,9.20,75278.00,0.97,9.10,15.00,20.60,23.50,14.90,89.30,6.80,,,1,
40661,77365,46418,11.50,95702.00,1.24,5.30,21.60,11.50,17.10,5.80,77.10,1.10,37.35,69,2,27.89
40662,77367,446,,,,,,,,,,,,,0,
40663,77372,14367,13.00,79085.00,1.02,4.70,23.50,9.70,20.00,7.50,81.30,2.50,41.52,81,2,3.23
40664,77373,69739,10.70,88617.00,1.15,5.10,16.40,12.40,11.90,5.30,72.80,1.90,35.47,63,2,45.83
40665,77375,72311,10.30,102488.00,1.33,2.80,8.50,7.40,7.60,3.70,69.80,3.80,28.09,40,2,47.81
40666,77377,41680,7.00,129327.00,1.68,4.80,7.90,4.00,8.30,3.90,84.30,1.10,20.16,17,2,24.24
40667,77378,17629,10.60,71143.00,0.92,6.70,22.90,13.20,18.70,4.00,74.50,6.20,46.10,97,2,5.74
40668,77379,85190,7.50,107486.00,1.39,6.20,8.70,6.30,5.40,4.10,74.10,3.20,27.01,36,2,57.72
