id_no,zip_code,population,poverty_rate,median_household_inc,income_ratio,unemp_rate,no_health_ins,snap,no_hs_diploma,vacancy_rate,owner_occupancy,no_vehicle,distress_score,rank,exclude
9424,77040,50446,19.90,67254.00,0.89,5.60,20.80,11.30,21.20,4.60,51.80,5.50,52.67,120,2
9425,77041,33180,13.50,79164.00,1.05,5.10,21.30,9.00,16.00,5.80,72.80,1.20,39.40,76,2
9426,77042,40725,15.90,57745.00,0.77,10.00,26.60,14.10,11.30,10.10,25.70,8.50,62.24,141,2
9427,77043,26343,14.40,75017.00,1.00,4.50,21.00,8.80,15.60,8.40,54.90,6.50,45.73,98,2
9428,77044,55746,12.70,92416.00,1.23,7.60,19.30,13.50,15.80,5.50,75.10,4.90,43.27,90,2
9429,77045,32482,21.80,61166.00,0.81,9.50,25.30,15.60,26.50,3.70,59.10,5.10,61.97,140,2
9430,77046,1873,11.20,115516.00,1.54,0.00,0.70,1.40,0.00,13.50,50.70,10.10,,,1
9431,77047,35248,11.30,73947.00,0.98,8.10,16.30,16.30,10.60,3.70,70.60,4.60,43.45,91,2
9432,77048,20430,27.30,54625.00,0.73,14.00,16.50,27.00,16.90,7.30,58.20,12.20,74.47,168,2
9433,77049,40373,18.40,70514.00,0.94,8.00,26.60,16.70,22.40,5.30,68.00,4.70,55.42,125,2
9434,77050,5854,52.30,30346.00,0.40,5.60,50.60,23.30,45.70,3.60,54.50,3.50,,,1
9435,77051,18506,37.70,40030.00,0.53,19.40,20.80,32.80,22.30,11.90,38.80,17.40,100.00,191,2
9436,77053,30256,18.20,63739.00,0.85,7.10,27.40,18.90,27.90,2.80,65.30,3.60,56.76,129,2
9437,77054,26696,20.80,59087.00,0.79,5.50,15.00,7.10,1.90,12.80,11.20,13.90,57.26,132,2
9438,77055,44088,20.20,73297.00,0.97,5.10,26.80,9.40,22.20,9.10,46.30,8.30,56.48,127,2
9439,77056,23314,8.20,101932.00,1.36,4.80,9.50,2.40,1.80,16.60,35.40,5.40,32.79,59,2
9440,77057,45394,17.60,66200.00,0.88,5.00,24.70,6.00,13.10,11.80,31.10,11.00,55.38,124,2
9441,77058,18572,12.00,66471.00,0.88,4.10,16.20,7.70,5.20,9.60,30.90,5.80,42.52,87,2
9442,77059,18386,4.00,166614.00,2.21,6.60,6.70,0.50,3.40,2.50,94.00,0.30,11.40,4,2
9443,77060,44920,35.30,37843.00,0.50,6.40,44.00,26.80,44.90,9.20,23.00,14.00,94.97,188,2
9444,77061,24238,21.40,44520.00,0.59,5.70,32.90,20.30,31.10,11.60,39.40,11.90,72.50,165,2
9445,77062,24892,9.00,105824.00,1.41,6.00,9.60,7.60,6.70,4.70,75.00,3.70,29.35,47,2
9446,77063,39994,18.70,54509.00,0.72,9.20,24.00,10.50,7.90,11.40,23.60,12.80,63.90,145,2
9447,77064,48924,12.20,85318.00,1.13,5.80,18.90,12.90,17.90,7.90,63.20,2.70,42.31,86,2
9448,77065,38393,10.00,75496.00,1.00,6.70,17.50,11.60,10.50,7.30,45.10,4.40,43.45,92,2
9449,77066,38315,12.50,83545.00,1.11,5.20,21.60,15.90,23.40,3.60,74.30,4.10,44.28,93,2
9450,77067,31800,25.60,51278.00,0.68,4.60,27.30,27.70,28.40,9.40,44.20,7.80,68.75,155,2
9451,77068,12289,9.50,85873.00,1.14,7.20,17.90,5.80,10.70,9.30,70.20,1.80,36.45,69,2
9452,77069,20935,18.60,73599.00,0.98,6.50,11.40,7.70,3.90,5.90,62.70,3.60,40.55,80,2
9453,77070,57645,14.60,72440.00,0.96,7.20,16.80,10.00,8.90,6.90,48.00,5.20,46.08,100,2
9454,77071,26794,13.40,55147.00,0.73,10.20,21.20,19.20,18.20,8.40,51.80,11.10,61.48,139,2
9455,77072,58681,24.40,49893.00,0.66,6.10,29.60,24.50,29.90,8.30,45.10,11.40,72.44,164,2
9456,77073,43684,13.20,72271.00,0.96,4.10,22.50,14.60,21.30,6.30,63.00,3.40,45.23,96,2
9457,77074,37467,27.20,47408.00,0.63,5.70,41.20,20.90,41.20,15.30,32.60,15.00,84.99,179,2
9458,77075,41012,15.10,71509.00,0.95,8.70,27.90,18.40,30.10,6.60,61.40,3.60,57.70,133,2
9459,77076,32641,27.10,39895.00,0.53,3.80,37.90,20.60,44.50,8.00,51.30,10.90,77.16,173,2
9460,77077,63421,11.80,71080.00,0.94,6.70,14.50,8.60,5.10,11.30,35.60,8.00,45.87,99,2
9461,77078,14705,32.80,38838.00,0.52,15.90,32.30,35.20,27.10,10.40,58.70,11.30,91.75,187,2
9462,77079,35540,6.50,103089.00,1.37,3.70,12.40,6.50,4.30,9.40,50.80,1.90,27.73,37,2
9463,77080,49064,24.40,63056.00,0.84,6.50,35.00,13.50,31.70,9.90,46.50,6.00,66.83,150,2
9464,77081,51366,33.50,42228.00,0.56,5.60,46.40,20.80,44.70,8.60,6.50,18.90,96.84,190,2
9465,77082,57269,18.40,60510.00,0.80,6.80,23.90,15.90,12.40,7.60,36.80,9.50,58.59,136,2
9466,77083,74843,16.40,65349.00,0.87,7.80,21.30,19.30,21.00,5.20,65.50,6.40,54.75,122,2
9467,77084,109115,11.80,76327.00,1.01,7.20,20.50,13.70,16.00,7.30,60.00,4.20,46.20,101,2
9468,77085,16947,16.40,66651.00,0.89,2.90,29.40,12.50,33.30,3.20,63.70,4.40,51.67,119,2
9469,77086,28623,14.90,58184.00,0.77,8.20,32.40,25.90,29.30,6.40,57.30,7.50,64.90,147,2
9470,77087,35192,22.40,53624.00,0.71,8.70,32.60,24.00,37.10,10.20,55.40,7.20,72.96,166,2
9471,77088,54115,18.60,52549.00,0.70,9.70,25.90,20.80,28.30,5.80,65.60,9.90,66.30,148,2
9472,77089,56607,11.10,87262.00,1.16,5.20,15.30,12.30,15.00,6.10,66.10,3.20,38.29,75,2
9473,77090,41843,20.10,48196.00,0.64,6.60,20.10,21.00,11.50,12.50,28.00,10.40,63.20,143,2
9474,77091,29135,35.60,35737.00,0.48,7.50,29.40,30.40,27.00,11.90,35.20,14.60,87.03,182,2
